name,version,category,keywords,decscription,url,moduleName
ddocent,ctr-2.6.0--h470a237_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.6.0--h470a237_0
ddocent,ctr-2.5.1--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.5.1--bamtools2.4.1_0
ddocent,ctr-2.6.0--h470a237_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.6.0--h470a237_1
ddocent,ctr-2.5.6--h470a237_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.5.6--h470a237_0
ddocent,ctr-2.5.2--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.5.2--bamtools2.4.1_0
ddocent,ctr-2.5.2--bamtools2.4.1_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.5.2--bamtools2.4.1_1
ddocent,ctr-2.2.13--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.13--0
ddocent,ctr-2.2.25--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.25--0
ddocent,ctr-2.3.8--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.3.8--bamtools2.4.1_0
ddocent,ctr-2.2.19--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.19--0
ddocent,ctr-2.2.15--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.15--0
openmolar,ctr-v1.0.15-gd81f9e5-1-deb_cv1,Bioinformatics,Biocontainer,This project no longer uses launchpad for code hosting.,https//hub.docker.com/r/biocontainers/openmolar,openmolar/ctr-v1.0.15-gd81f9e5-1-deb_cv1
mercat,ctr-0.1--py27_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.1--py27_0
mercat,ctr-0.2--py27_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.2--py27_0
mercat,ctr-0.1--py35_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.1--py35_0
mercat,ctr-0.2--py36_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.2--py36_0
mercat,ctr-0.2--py34_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.2--py34_0
mercat,ctr-0.1--py34_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.1--py34_0
mercat,ctr-0.2--py_1,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.2--py_1
mercat,ctr-0.2--py35_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat,mercat/ctr-0.2--py35_0
agg,ctr-0.3.6--hd28b015_0,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg,agg/ctr-0.3.6--hd28b015_0
agg,ctr-0.3.5--1,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg,agg/ctr-0.3.5--1
agg,ctr-0.3.5--0,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg,agg/ctr-0.3.5--0
r-downloader,ctr-0.0.4--r3.3.2_0,Bioinformatics,Biocontainer,The r-downloader package,https//quay.io/repository/biocontainers/r-downloader,r-downloader/ctr-0.0.4--r3.3.2_0
deeptoolsintervals,ctr-0.1.7--py27h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals,deeptoolsintervals/ctr-0.1.7--py27h470a237_0
deeptoolsintervals,ctr-0.1.7--py35h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals,deeptoolsintervals/ctr-0.1.7--py35h470a237_0
deeptoolsintervals,ctr-0.1.7--py36h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals,deeptoolsintervals/ctr-0.1.7--py36h470a237_0
plant_tribes_gene_family_classifier,ctr-1.0.2--1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.2--1
plant_tribes_gene_family_classifier,ctr-1.0.3--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.3--pl5.22.0_0
plant_tribes_gene_family_classifier,ctr-1.0.3--pl5.22.0_1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.3--pl5.22.0_1
plant_tribes_gene_family_classifier,ctr-1.0.0--1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.0--1
plant_tribes_gene_family_classifier,ctr-0.2--0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-0.2--0
plant_tribes_gene_family_classifier,ctr-1.0.2--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.2--pl5.22.0_0
plant_tribes_gene_family_classifier,ctr-1.0.3--2,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.3--2
plant_tribes_gene_family_classifier,ctr-0.3--pl5.22.0_1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-0.3--pl5.22.0_1
plant_tribes_gene_family_classifier,ctr-1.0.0--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-1.0.0--pl5.22.0_0
plant_tribes_gene_family_classifier,ctr-0.1--0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier,plant_tribes_gene_family_classifier/ctr-0.1--0
eggnog-mapper,ctr-1.0.1--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.1--py27_0
eggnog-mapper,ctr-1.0.2--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.2--py27_0
eggnog-mapper,ctr-1.0.0--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.0--py27_0
eggnog-mapper,ctr-1.0.3--py27_2,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.3--py27_2
eggnog-mapper,ctr-1.0.3--py27_1,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.3--py27_1
eggnog-mapper,ctr-1.0.3--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper,eggnog-mapper/ctr-1.0.3--py27_0
biobb_analysis,ctr-0.1.3--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.1.3--py_0
biobb_analysis,ctr-0.1.2--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.1.2--py_0
biobb_analysis,ctr-0.0.8--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.0.8--py_0
biobb_analysis,ctr-0.1.1--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.1.1--py_0
biobb_analysis,ctr-0.0.9--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.0.9--py_0
biobb_analysis,ctr-0.1.0--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.1.0--py_0
biobb_analysis,ctr-0.0.4--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis,biobb_analysis/ctr-0.0.4--py_0
ecmwfapi,ctr-1.4.1--py27_0,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py27_0
ecmwfapi,ctr-1.4.1--py27_1,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py27_1
ecmwfapi,ctr-1.4.1--py_2,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py_2
ecmwfapi,ctr-1.4.1--py35_0,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py35_0
ecmwfapi,ctr-1.4.1--py35_1,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py35_1
ecmwfapi,ctr-1.4.1--py34_0,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py34_0
ecmwfapi,ctr-1.4.1--py36_1,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi,ecmwfapi/ctr-1.4.1--py36_1
elprep,ctr-4.1.0--0,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-4.1.0--0
elprep,ctr-4.0.0--0,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-4.0.0--0
elprep,ctr-4.0.1--0,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-4.0.1--0
elprep,ctr-4.1.1--0,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-4.1.1--0
elprep,ctr-3.04--0,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-3.04--0
elprep,ctr-3.04--1,Variant calling,Sequencing,Is a high-performance tool for preparing .sam/.bam/.cram files for variant calling in sequencing pipelines.It can be used as a drop-in replacement for SAMtools/Picard,https//quay.io/repository/biocontainers/elprep,elprep/ctr-3.04--1
crac,ctr-v2.5.0dfsg-1-deb_cv1,Genome indexing,RNA splicing,CRAC is a mapping software specialized for RNA-Seq data. It detects mutations,https//hub.docker.com/r/biocontainers/crac,crac/ctr-v2.5.0dfsg-1-deb_cv1
chimeraslayer,ctr-v20101212dfsg1-1-deb_cv1,Chimeric sequence detection,Sequences,A chimeric sequence detection utility,https//hub.docker.com/r/biocontainers/chimeraslayer,chimeraslayer/ctr-v20101212dfsg1-1-deb_cv1
diamond,ctr-0.8.29--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.29--0
diamond,ctr-0.8.29--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.29--1
diamond,ctr-0.9.19--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.19--1
diamond,ctr-0.8.9--boost1.60_1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.9--boost1.60_1
diamond,ctr-0.9.21--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.21--1
diamond,ctr-0.8.27--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.27--0
diamond,ctr-0.8.27--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.27--1
diamond,ctr-0.8.31--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.31--1
diamond,ctr-0.8.31--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.31--0
diamond,ctr-0.9.14--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.14--1
diamond,ctr-0.9.14--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.14--0
diamond,ctr-0.8.28--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.28--1
diamond,ctr-0.8.36--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.36--1
diamond,ctr-0.9.24--ha87ae23_0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.24--ha87ae23_0
diamond,ctr-0.8.36--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.36--0
diamond,ctr-0.7.12--boost1.61_0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.7.12--boost1.61_0
diamond,ctr-0.8.28--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.28--0
diamond,ctr-0.8.26--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.26--1
diamond,ctr-0.8.26--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.26--0
diamond,ctr-0.8.30--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.30--0
diamond,ctr-0.8.30--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.30--1
diamond,ctr-0.7.12--boost1.60_0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.7.12--boost1.60_0
diamond,ctr-0.8.22--boost1.60_1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.8.22--boost1.60_1
diamond,ctr-0.9.10--0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.10--0
diamond,ctr-0.9.10--1,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.9.10--1
diamond,ctr-0.7.12--boost1.64_0,Sequence alignment analysis,Sequence analysis,Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies,https//quay.io/repository/biocontainers/diamond,diamond/ctr-0.7.12--boost1.64_0
genclust,ctr-1.0--h470a237_0,Gene expression clustering,Gene expression,New genetic algorithm for clustering gene expression data. It has two key features a a novel coding of the search space that is simple,https//quay.io/repository/biocontainers/genclust,genclust/ctr-1.0--h470a237_0
bioperl-run,ctr-v1.7.1-3-deb_cv1,Bioinformatics,Biocontainer,The bioperl-run package,https//hub.docker.com/r/biocontainers/bioperl-run,bioperl-run/ctr-v1.7.1-3-deb_cv1
chewbbaca,ctr-2.0.8--py35_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.8--py35_0
chewbbaca,ctr-2.0.15--py36_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.15--py36_0
chewbbaca,ctr-2.0.8--py35_2,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.8--py35_2
chewbbaca,ctr-2.0.16--py35_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.16--py35_0
chewbbaca,ctr-2.0.8--py36_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.8--py36_0
chewbbaca,ctr-2.0.8--py36_2,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.8--py36_2
chewbbaca,ctr-2.0.15--py35_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.15--py35_0
chewbbaca,ctr-2.0.16--py36_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.16--py36_0
chewbbaca,ctr-1.0--np113py27_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-1.0--np113py27_0
chewbbaca,ctr-2.0.6--py36_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.6--py36_0
chewbbaca,ctr-2.0.12--py35_2,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.12--py35_2
chewbbaca,ctr-2.0.6--py35_0,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.6--py35_0
chewbbaca,ctr-2.0.12--py36_2,Bioinformatics,Biocontainer,The chewbbaca package,https//quay.io/repository/biocontainers/chewbbaca,chewbbaca/ctr-2.0.12--py36_2
infernal,ctr-1.1.2--0,Bioinformatics,Biocontainer,The infernal package,https//quay.io/repository/biocontainers/infernal,infernal/ctr-1.1.2--0
infernal,ctr-1.1.1--0,Bioinformatics,Biocontainer,The infernal package,https//quay.io/repository/biocontainers/infernal,infernal/ctr-1.1.1--0
